보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
201-0018,1,,충청북도 청주시 상당구 영동 5-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0019,1,,충청북도 청주시 상당구 영동 15-19,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0020,1,,충청북도 청주시 상당구 영동 15-19,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0021,1,,충청북도 청주시 상당구 영동 12-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0022,1,,충청북도 청주시 상당구 영동 13-19,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0023,1,,충청북도 청주시 상당구 영동 41-1,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0024,1,,충청북도 청주시 상당구 영동 41-1,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0025,1,,충청북도 청주시 상당구 영동 41-1,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0027,1,,충청북도 청주시 상당구 영동 41-16,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0028,1,,충청북도 청주시 상당구 영동 41-17,,,2022,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0029,1,,충청북도 청주시 상당구 영동 38-13,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0030,1,,충청북도 청주시 상당구 영동 35-4,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0031,1,,충청북도 청주시 상당구 영동 41-51,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0032,1,,충청북도 청주시 상당구 영동 48-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0033,1,,충청북도 청주시 상당구 영동 48-1,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0034,1,,충청북도 청주시 상당구 영동 45-5,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0035,1,,충청북도 청주시 상당구 영동 47-18,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0036,1,,충청북도 청주시 상당구 영동 46-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0037,1,,충청북도 청주시 상당구 영동 45-5,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0038,1,,충청북도 청주시 상당구 영동 48-1,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0039,1,,충청북도 청주시 상당구 영동 48-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0041,1,,충청북도 청주시 상당구 영동 112-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0042,1,,충청북도 청주시 상당구 영동 57-0,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0043,1,,충청북도 청주시 상당구 영동 57-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0044,1,,충청북도 청주시 상당구 영동 57-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0046,1,,충청북도 청주시 상당구 영동 73-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0047,1,,충청북도 청주시 상당구 영동 74-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0048,1,,충청북도 청주시 상당구 영동 112-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0049,1,,충청북도 청주시 상당구 영동 112-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0050,1,,충청북도 청주시 상당구 영동 91-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0051,1,,충청북도 청주시 상당구 영동 91-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0052,1,,충청북도 청주시 상당구 영동 112-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0053,1,,충청북도 청주시 상당구 영동 91-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0054,1,,충청북도 청주시 상당구 영동 91-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0055,1,,충청북도 청주시 상당구 영동 91-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0056,1,,충청북도 청주시 상당구 영동 112-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0057,1,,충청북도 청주시 상당구 영동 90-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0058,1,,충청북도 청주시 상당구 영동 91-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0059,1,,충청북도 청주시 상당구 영동 9-1,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0060,1,,충청북도 청주시 상당구 수동 15-1,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0061,1,,충청북도 청주시 상당구 영동 91-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0062,1,,충청북도 청주시 상당구 영동 91-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0065,1,,충청북도 청주시 상당구 영동 91-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0066,1,,충청북도 청주시 상당구 영동 91-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0067,1,,충청북도 청주시 상당구 영동 91-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0068,1,,충청북도 청주시 상당구 영동 113-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0069,1,,충청북도 청주시 상당구 영동 91-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0073,1,,충청북도 청주시 상당구 수동 82-9,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1004,1,,충청북도 청주시 상당구 북문로2가 136-3,,,2025,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1007,1,,충청북도 청주시 상당구 북문로2가 142-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1008,1,,충청북도 청주시 상당구 북문로2가 66-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1009,1,,충청북도 청주시 상당구 북문로2가 66-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1010,1,,충청북도 청주시 상당구 북문로2가 66-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1011,1,,충청북도 청주시 상당구 북문로2가 66-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1012,1,,충청북도 청주시 상당구 북문로2가 66-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1013,1,,충청북도 청주시 상당구 북문로2가 66-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1016,1,,충청북도 청주시 상당구 북문로2가 66-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1019,1,,충청북도 청주시 상당구 북문로2가 64-3,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1020,1,,충청북도 청주시 상당구 북문로2가 66-0,,,2024,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1023,1,,충청북도 청주시 상당구 북문로2가 66-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1024,1,,충청북도 청주시 상당구 북문로2가 66-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1025,1,,충청북도 청주시 상당구 수동 336-4,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1026,1,,충청북도 청주시 상당구 북문로2가 90-0,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1027,1,,충청북도 청주시 상당구 북문로2가 90-1,,,2022,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1028,1,,충청북도 청주시 상당구 북문로2가 130-2,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1029,1,,충청북도 청주시 상당구 북문로2가 122-10,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1032,1,,충청북도 청주시 상당구 북문로2가 131-2,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1033,1,,충청북도 청주시 상당구 북문로2가 145-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1034,1,,충청북도 청주시 상당구 북문로2가 142-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1035,1,,충청북도 청주시 상당구 북문로2가 142-1,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1036,1,,충청북도 청주시 상당구 북문로2가 116-89,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1037,1,,충청북도 청주시 상당구 북문로2가 116-146,,,2024,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1038,1,,충청북도 청주시 상당구 북문로2가 16-1,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1039,1,,충청북도 청주시 상당구 북문로2가 116-158,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1040,1,,충청북도 청주시 상당구 북문로2가 116-158,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1041,1,,충청북도 청주시 상당구 북문로2가 116-158,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1042,1,,충청북도 청주시 상당구 북문로2가 116-158,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1044,1,,충청북도 청주시 상당구 북문로2가 116-158,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1045,1,,충청북도 청주시 상당구 북문로2가 116-86,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1046,1,,충청북도 청주시 상당구 북문로2가 116-89,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1047,1,,충청북도 청주시 상당구 북문로2가 116-19,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1048,1,,충청북도 청주시 상당구 북문로2가 95-2,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1050,1,,충청북도 청주시 상당구 북문로2가 72-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1051,1,,충청북도 청주시 상당구 북문로2가 72-1,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1052,1,,충청북도 청주시 상당구 북문로2가 116-261,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1056,1,,충청북도 청주시 상당구 북문로2가 142-1,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1057,1,,충청북도 청주시 상당구 북문로2가 116-158,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-1060,1,,충청북도 청주시 상당구 수동 142-1,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1062,1,,충청북도 청주시 상당구 수동 457-0,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-1064,1,,충청북도 청주시 상당구 수동 112-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2001,1,,충청북도 청주시 상당구 북문로3가 63-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2002,1,,충청북도 청주시 상당구 북문로3가 63-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2003,1,,충청북도 청주시 상당구 북문로3가 68-8,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2004,1,,충청북도 청주시 상당구 북문로3가 62-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2005,1,,충청북도 청주시 상당구 북문로3가 62-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2006,1,,충청북도 청주시 상당구 북문로3가 61-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2007,1,,충청북도 청주시 상당구 북문로3가 61-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2008,1,,충청북도 청주시 상당구 북문로3가 54-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2009,1,,충청북도 청주시 상당구 북문로3가 45-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2010,1,,충청북도 청주시 상당구 북문로3가 49-2,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-2011,1,,충청북도 청주시 상당구 북문로3가 49-2,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-2012,1,,충청북도 청주시 상당구 북문로3가 50-1,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2013,1,,충청북도 청주시 상당구 북문로3가 114-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2014,1,,충청북도 청주시 상당구 북문로3가 114-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2015,1,,충청북도 청주시 상당구 북문로3가 5-11,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2016,1,,충청북도 청주시 상당구 북문로3가 114-1,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2017,1,,충청북도 청주시 상당구 북문로3가 6-8,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2021,1,,충청북도 청주시 상당구 북문로3가 45-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2024,1,,충청북도 청주시 상당구 북문로3가 115-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2025,1,,충청북도 청주시 상당구 북문로3가 115-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2026,1,,충청북도 청주시 상당구 북문로3가 115-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2027,1,,충청북도 청주시 상당구 북문로3가 115-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2028,1,,충청북도 청주시 상당구 북문로3가 115-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2029,1,,충청북도 청주시 상당구 북문로3가 115-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2030,1,,충청북도 청주시 상당구 북문로3가 65-4,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2031,1,,충청북도 청주시 상당구 북문로3가 66-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-2032,1,,충청북도 청주시 상당구 북문로3가 122-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3001,1,,충청북도 청주시 상당구 수동 454-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3002,1,,충청북도 청주시 상당구 수동 445-4,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3003,1,,충청북도 청주시 상당구 수동 445-4,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3004,1,,충청북도 청주시 상당구 수동 440-2,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3005,1,,충청북도 청주시 상당구 수동 445-8,,,2024,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3006,1,,충청북도 청주시 상당구 수동 440-2,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3007,1,,충청북도 청주시 상당구 수동 440-2,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3008,1,,충청북도 청주시 상당구 수동 440-11,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3009,1,,충청북도 청주시 상당구 수동 457-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3010,1,,충청북도 청주시 상당구 수동 437-2,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3011,1,,충청북도 청주시 상당구 수동 436-36,,,2022,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3012,1,,충청북도 청주시 상당구 수동 446-32,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3013,1,,충청북도 청주시 상당구 수동 436-20,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3014,1,,충청북도 청주시 상당구 수동 446-6,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3015,1,,충청북도 청주시 상당구 수동 444-1,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3016,1,,충청북도 청주시 상당구 수동 445-1,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3017,1,,충청북도 청주시 상당구 수동 445-4,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3018,1,,충청북도 청주시 상당구 수동 440-2,,,2024,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3025,1,,충청북도 청주시 상당구 수동 427-14,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3026,1,,충청북도 청주시 상당구 수동 427-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3027,1,,충청북도 청주시 상당구 수동 426-7,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3029,1,,충청북도 청주시 상당구 수동 457-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3030,1,,충청북도 청주시 상당구 수동 402-28,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3031,1,,충청북도 청주시 상당구 수동 412-19,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3032,1,,충청북도 청주시 상당구 수동 402-10,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3033,1,,충청북도 청주시 상당구 수동 408-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3034,1,,충청북도 청주시 상당구 수동 408-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3035,1,,충청북도 청주시 상당구 수동 403-23,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3036,1,,충청북도 청주시 상당구 수동 403-24,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3037,1,,충청북도 청주시 상당구 수동 402-67,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3038,1,,충청북도 청주시 상당구 수동 404-18,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3039,1,,충청북도 청주시 상당구 수동 403-24,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3040,1,,충청북도 청주시 상당구 수동 457-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3041,1,,충청북도 청주시 상당구 수동 457-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3042,1,,충청북도 청주시 상당구 수동 457-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3043,1,,충청북도 청주시 상당구 수동 372-8,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3044,1,,충청북도 청주시 상당구 수동 372-8,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3045,1,,충청북도 청주시 상당구 수동 408-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3046,1,,충청북도 청주시 상당구 수동 409-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3047,1,,충청북도 청주시 상당구 수동 384-8,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3048,1,,충청북도 청주시 상당구 수동 457-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3049,1,,충청북도 청주시 상당구 수동 457-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3050,1,,충청북도 청주시 상당구 수동 457-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3051,1,,충청북도 청주시 상당구 수동 369-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3052,1,,충청북도 청주시 상당구 수동 363-2,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3053,1,,충청북도 청주시 상당구 수동 364-3,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3054,1,,충청북도 청주시 상당구 수동 336-1,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3055,1,,충청북도 청주시 상당구 수동 336-1,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3056,1,,충청북도 청주시 상당구 수동 349-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3057,1,,충청북도 청주시 상당구 수동 350-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3058,1,,충청북도 청주시 상당구 수동 351-3,,,2024,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3059,1,,충청북도 청주시 상당구 수동 348-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3060,1,,충청북도 청주시 상당구 수동 347-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3061,1,,충청북도 청주시 상당구 수동 346-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3062,1,,충청북도 청주시 상당구 수동 344-19,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3063,1,,충청북도 청주시 상당구 수동 347-0,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3064,1,,충청북도 청주시 상당구 수동 342-5,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3065,1,,충청북도 청주시 상당구 수동 342-5,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3066,1,,충청북도 청주시 상당구 수동 342-5,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3067,1,,충청북도 청주시 상당구 수동 339-3,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3068,1,,충청북도 청주시 상당구 수동 339-8,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3069,1,,충청북도 청주시 상당구 수동 340-8,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3070,1,,충청북도 청주시 상당구 수동 347-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3071,1,,충청북도 청주시 상당구 수동 324-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3072,1,,충청북도 청주시 상당구 수동 325-3,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3073,1,,충청북도 청주시 상당구 수동 327-7,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3074,1,,충청북도 청주시 상당구 수동 328-28,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3075,1,,충청북도 청주시 상당구 수동 327-7,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3076,1,,충청북도 청주시 상당구 수동 316-23,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3077,1,,충청북도 청주시 상당구 수동 316-22,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3078,1,,충청북도 청주시 상당구 수동 316-18,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3079,1,,충청북도 청주시 상당구 수동 316-18,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3080,1,,충청북도 청주시 상당구 수동 324-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3081,1,,충청북도 청주시 상당구 수동 323-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3082,1,,충청북도 청주시 상당구 수동 309-2,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3083,1,,충청북도 청주시 상당구 수동 324-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3084,1,,충청북도 청주시 상당구 수동 307-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3085,1,,충청북도 청주시 상당구 수동 307-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3086,1,,충청북도 청주시 상당구 수동 386-22,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3088,1,,충청북도 청주시 상당구 수동 457-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3089,1,,충청북도 청주시 상당구 수동 261-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3090,1,,충청북도 청주시 상당구 수동 257-3,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-3091,1,,충청북도 청주시 상당구 수동 258-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3092,1,,충청북도 청주시 상당구 수동 463-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3093,1,,충청북도 청주시 상당구 수동 463-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3094,1,,충청북도 청주시 상당구 수동 244-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3095,1,,충청북도 청주시 상당구 수동 251-2,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3096,1,,충청북도 청주시 상당구 수동 453-17,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3100,1,,충청북도 청주시 상당구 수동 432-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-3101,1,,충청북도 청주시 상당구 수동 422-9,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
